name,email,month,day
Portgas D.Ace,portgasD@email.com,1,1
Iceburg,iceburg@email.com,1,3
Ivankov Emporium,ivankov@email.com,1,8
Going Merry,goingmerry@email.com,1,22
Lola,lola@email.com,1,27
Nico Robin,nicoR@email.com,2,6
Oars Jr,Oarsneverdied@email.com,2,12
Hamburg,hamburg@email.com,2,22
Sanji Vinsmoke,sanjiv@email.com,3,2
Franky,frankyborg@email.com,3,9
Smoker,smoker@email.com,3,14
Sabo,sabo@email.com,3,20
Usopp,usoppthebrave@email.com,4,1
Jinbe,jinbe@email.com,4,2
Whitebeard,whitebeard@email.com,4,6
Monkey D. Garp,monkey.granpa@email.com,5,2
Monkey D. Luffy,monkey.kingofthepirates@email.com,5,5
Rob Lucci, robl@email.com,6,2
Nami,namisan@email.com,7,3
Donquixiote Rosinante,DonQ@email.com,7,15
Helmeppo,helpmeppo@email.com,7,16
Bellamy,bellamy@emai.,com,8,7
Kaya,kaya@email.com,8,24
Boa Hancock,boaH@email.com,9,2
Laboon, laboonthewhale@email.com,9,16
Monkey D Dragon, monkeyDD@email.com,10,5
Camie,camie@email.com,11,3
Roronoa Zoro, masterswordsman@email.com,11,11
Tony Tony Chopper, drchooper@dov.gov,12,24
Gol D Roger, kingofthepirates@grandline.com,12,31
